Homonym,Index,S1,S2,S3
draw,0-4,Draw a conclusion .,,I draw a line here .
dress,44927,We had to dress quickly .,,Marlene dressed the baby .
quality,45170,The quality of students has risen .,,"Quality of life is usually determined by health , education , and income ."
narrowness,4-0,The attraction of the book is precisely its narrowness of focus .,,Frustrated by the narrowness of people 's horizons .
pay,44927,You 'll pay for this !,,You 'll pay for this opinion later .
rub,45018,Rub my hands .,,Rub oil into her skin .
range,44928,He dreamed of a home on the range .,,They used to drive the cattle across the open range every spring .
run,44959,Run a new program on the Mac .,,Do n't run that software unless you have permission . ' .
break,44931,Nobody can break out -- this prison is high security .,,Three inmates broke jail .
develop,1-0,Develop land .,,The country developed its natural resources .
rearrange,44937,Please rearrange these files .,,Rearrange the furniture in my room .
business,3-0,Show me where the business was today .,,Business has been slow lately .
sing,0-0,I really want to sing in the school choir . said Vera .,,My brother sings very well .
job,44928,The job of repairing the engine took several hours .,,I 've got a job for you - could you wash the dishes ?
title,41334,He looked for books with the word ` jazz ' in the title .,,I can never remember movie titles .
exercise,45051,Some parents exercise their infants .,,This puzzle will exercise your mind .
carry,45019,These bonds carry warrants .,,The restaurant carries an unusual name .
language,45082,He recorded the spoken language of the streets .,,He uttered harsh language .
polish,45052,Polish my shoes .,,He polished up the chrome until it gleamed .
check,44959,Check the brakes .,,I will check up on the car tomorrow .
call,45056,He heard the phone ringing but did n't want to take the call .,,He placed a phone call to London .
move,44989,We must move quickly .,,"Come on guys , let 's move : there 's work to do !"
know,3-0,I know the feeling !,,Have you ever known hunger ?
hegemony,44959,The consolidation of the United States ' hegemony over a new international economic system .,,To say they have priority is not to say they have complete hegemony .
get,44959,Where did she get these news ?,,You can not get water out of a stone .
run,0-1,His daily run keeps him fit .,,He broke into a run .
know,44933,"I know your mother , but I 've never met your father .",,I know this voice !
admit,45050,To admit a serious thought into the mind .,,To admit evidence in the trial of a cause .
life,44988,The battery had a short life .,,He lived a long and happy life .
tomorrow,44929,Everyone hopes for a better tomorrow .,,Tomorrow 's world .
master,44960,A master of the violin .,,One of the old masters .
suffer,45142,I 've been suffering your insults for years .,,He suffered the penalty .
call,44959,He placed a phone call to London .,,I received several phone calls today .
service,0-1,Service my truck .,,The washing machine needs to be serviced .
turn,44927,Turn cartwheels .,,Turn a somersault .
patch,0-0,A cabbage patch .,,A briar patch .
place,44936,He overstepped his place .,,It is really not my place to say what is right and wrong in this case .
line,41913,In line with .,,He got out of line .
come,44930,Come into the room .,,Come down here !
take,44928,How should I take this message ?,,"Looking at him as he came into the room , I took him for his father ."
strike,44959,We must strike the enemy 's oil fields .,,"In the fifth inning , the Giants struck , sending three runners home to win the game 5 to 2 ."
summer,7-0,We like to summer in the Mediterranean .,,We summered in Kashmir .
way,45084,I felt the same way .,,That 's the way it is .
party,44960,The green party took 12 % of the vote .,,In 1992 Perot tried to organize a third party at the national level .
reproduction,44929,Unauthorized reproduction of this article is prohibited .,,Gutenberg 's reproduction of holy texts was far more efficient .
leak,44961,A leak in a boat .,,A leak in a roof .
grain,45019,A grain of salt .,,A grain of sand .
multiply,0-0,He managed to multiply his profits .,,"He had been multiplying , but it occurred to him he needed to resolve the exponents , first ."
baby,45207,It was great to feel my baby moving about inside .,,I felt healthy and very feminine carrying the baby .
see,0-2,You should see a lawyer .,,We had to see a psychiatrist .
term,45055,He left school before the end of term .,,He was sentenced to a term of six years in prison .
rest,44959,"Now that we 're all in agreement , we can put that issue to rest .",,The boulder came to rest just behind the house after rolling down the mountain .
frequency,44958,The frequency of modulation was 40 cycles per second .,,The frequency of his seizures increased as he grew older .
head,0-4,They were at the head of the attack .,,The head of the column advanced boldly .
take,0-0,How should I take this message ?,,He was often taken to be a man of means .
drill,45173,Drill for oil .,,Drill a small hole to start the screw in the right direction .
communicate,44963,I feel I hardly know him ; I just wish he 'd communicate with me a little more .,,Do you communicate well with your advisor ?
third,0-3,He ate a third of the pie .,,A simple harmony written in major thirds .
blip,2-0,Renewed jitters in the wake of a blip in retail sales .,,You ca n't react to the day-to-day blips .
book,44940,Many readers find the first book of A Tale of Two Cities to be confusing .,,Genesis is the first book of the Bible .
wash,44928,Can you wash away the spots on the windows ?,,He washed the dirt from his coat .
length,45204,A length of tubing .,,A length of timber .
speak,0-2,They speak a strange dialect .,,Although I do n't speak Chinese I managed to talk with the villagers using signs and gestures .
run,44929,Let the dogs run free .,,She runs around telling everyone of her troubles .
baby,44931,Baby rabbits .,,When is your baby due ?
beg,0-1,I beg your pardon . I did n't mean to cause offence .,,I begged to come .
sale,45114,Laws limit the sale of handguns .,,They tried to boost sales .
carry,1-0,We carry a very large mortgage .,,How many credits is this student carrying ?
figure,0-0,He cut a sorry figure standing there in the rain .,,A heroic figure .
fire,0-6,Fire a bullet .,,Fire a gun .
body,0-1,"Penny was in the scullery , pressing the body of her new dress .",,They moved their arms and legs and bodies .
mean,0-2,The sky is red this morning — does that mean we 're in for a storm ?,,An example sentence would show what this word means .
field,0-1,She will field questions immediately after her presentation .,,The lawyer fielded all questions from the press .
market,0-0,Before they publish any book they try to determine the size of the market for it .,,We believe that the market for the new widget is the older homeowner .
level,0-6,You can level the table by turning the pads that screw into the feet .,,The building was levelled .
fatigue,44960,He was suffering from museum fatigue .,,Political fatigue .
